query_id,x,y,pred_temperature,pred_humidity,subset
1,1.5,1.5,22.91712760925293,70.56669616699219,"{2, 12}"
2,2.5,4.5,22.593904495239258,70.28959655761719,"{2, 12}"
3,5.0,2.5,22.740306854248047,69.1517333984375,"{2, 12}"
4,6.5,6.0,23.220163345336914,68.4103012084961,"{2, 12}"
1,1.5,1.5,22.807729721069336,67.99205017089844,"{1, 2}"
2,2.5,4.5,22.4365234375,68.5038070678711,"{1, 2}"
3,5.0,2.5,22.56576156616211,67.4145278930664,"{1, 2}"
4,6.5,6.0,22.994022369384766,66.2928237915039,"{1, 2}"
1,1.5,1.5,22.924726486206055,70.1900634765625,"{11, 12}"
2,2.5,4.5,22.847585678100586,69.4890365600586,"{11, 12}"
3,5.0,2.5,22.633867263793945,69.45503234863281,"{11, 12}"
4,6.5,6.0,22.774532318115234,69.49017333984375,"{11, 12}"
1,1.5,1.5,22.67981719970703,69.88638305664062,"{6, 8}"
2,2.5,4.5,22.847585678100586,71.50850677490234,"{6, 8}"
3,5.0,2.5,22.191638946533203,71.30023956298828,"{6, 8}"
4,6.5,6.0,22.523916244506836,69.82041931152344,"{6, 8}"
1,1.5,1.5,22.747594833374023,67.3493881225586,"{1, 11}"
2,2.5,4.5,22.753726959228516,67.39411163330078,"{1, 11}"
3,5.0,2.5,22.31624984741211,67.75411987304688,"{1, 11}"
4,6.5,6.0,22.640899658203125,66.8131103515625,"{1, 11}"
