lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,1,0,humidity,0.47887500580120756,0.3759900629520416,0.9839514877112118
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,1,0,temperature,0.20247591371399562,0.16531483829021454,0.9630202425646821
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,2,0,humidity,0.8957847241956942,0.6402496099472046,0.931159169277622
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,2,0,temperature,0.33720965479701,0.21665725111961365,0.9230624565741891
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,3,0,humidity,0.649645289508128,0.5558124780654907,0.9677998561335025
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,3,0,temperature,0.2352368641179715,0.18255291879177094,0.9582310015106807
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,4,0,humidity,1.3103920494075942,0.6862095594406128,0.8150560286020678
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,4,0,temperature,0.5977591631676413,0.2628951966762543,0.8223057703033998
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,5,0,humidity,0.8012511200681288,0.6839427947998047,0.9541027197924163
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,5,0,temperature,0.25401007656887853,0.19878941774368286,0.9456528310866702
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,6,0,humidity,0.8212531373357433,0.45767176151275635,0.9527411199501241
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,6,0,temperature,0.3091397826612525,0.15962594747543335,0.9367534123985468
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,7,0,humidity,0.6343098104271252,0.43682748079299927,0.9752425500765475
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,7,0,temperature,0.2532175995556843,0.1676405519247055,0.9545247404986554
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,8,0,humidity,0.7846950106183491,0.5762377381324768,0.9571874990705481
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,8,0,temperature,0.23297662806095062,0.1576061248779297,0.9571900641836997
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,9,0,humidity,0.7313995958207693,0.4436942934989929,0.966495637170571
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,9,0,temperature,0.2717550424136062,0.18535728752613068,0.9456140174166396
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,10,1,humidity,1.0620021775792672,0.7173411846160889,0.9297561973294415
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,10,1,temperature,0.3500295490325393,0.2736189663410187,0.917826384324676
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,11,1,humidity,0.6946235629717804,0.45514771342277527,0.9630181034375216
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,11,1,temperature,0.31708894476309346,0.2084796279668808,0.9313603392785774
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,12,0,humidity,0.8318017275874622,0.7185827493667603,0.9561106637905491
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,12,0,temperature,0.25827391111513426,0.21104146540164948,0.9485163920973727
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,13,0,humidity,0.5808601887331036,0.4016348123550415,0.9734260283017434
lab2,head_only,lab2_active_10_11,"Lab2 active set [10, 11]",2,11,13,0,temperature,0.21783393395919223,0.15684539079666138,0.9618397036369841
lab2,head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,1,0,humidity,0.5598427739987928,0.423166424036026,0.9780657598467143
