lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,1,1,temperature,0.19686036925977274,0.1330500990152359,0.903296683874832
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,1,1,humidity,0.6828495006880394,0.4859061539173126,0.9841892826685319
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,2,1,temperature,0.09726231753229601,0.07358115166425705,0.9883325614800917
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,2,1,humidity,0.3726774653507708,0.26124846935272217,0.9951025819372111
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,3,1,temperature,0.08701823988259946,0.06982221454381943,0.986157504020598
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,3,1,humidity,0.4862956300473237,0.3952357769012451,0.9910146395625449
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,4,1,temperature,0.08426266130140654,0.06674156337976456,0.9802765508031034
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,4,1,humidity,0.4470397512140244,0.35042643547058105,0.9912648577714036
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,5,1,temperature,0.056341681337173634,0.04481986537575722,0.9925124410967029
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,5,1,humidity,0.3342411548796584,0.2696872651576996,0.995736274155635
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,6,1,temperature,0.11657120854289217,0.0787438377737999,0.9880373168074464
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,6,1,humidity,0.5523196979989102,0.39323481917381287,0.9907047233358177
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,7,1,temperature,0.05147070471309407,0.03702191263437271,0.9939345121048062
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,7,1,humidity,0.32029625223401553,0.22888121008872986,0.9958811515678636
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,8,1,temperature,0.06786942308414276,0.0515911765396595,0.9907534992879385
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,8,1,humidity,0.2304826748407497,0.17750494182109833,0.9981381956359436
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,9,1,temperature,0.1000601442340886,0.07778791338205338,0.984952498873128
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,9,1,humidity,0.44134954915419633,0.35116875171661377,0.9938232745128629
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,10,1,temperature,0.06767476109978475,0.05068183317780495,0.9898875639353435
lab1,lab1_reference,lab2_all13,Lab2 all 13 active,13,0,10,1,humidity,0.3277070016989518,0.24901539087295532,0.995874738208679
