protocol_name,display_name,active_sensors,active_count,masked_total,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab2_all13,Lab2 all 13 active,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",13,0,,head_only,,,
lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]","[2, 4, 5, 6, 9]",5,8,1.0,head_only,0.9165326780820634,0.9394622818495182,0.8936030743146086
lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",5,8,2.0,head_only,0.9114939296528939,0.9359496764403255,0.8870381828654624
lab2_active_2_7_9_10_11,"Lab2 active set [2, 7, 9, 10, 11]","[2, 7, 9, 10, 11]",5,8,3.0,head_only,0.9063299652272412,0.9317566718744269,0.8809032585800554
lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]","[1, 6, 7, 8, 9]",5,8,4.0,head_only,0.9057353993522625,0.931117901790744,0.8803528969137809
lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]","[6, 7, 8, 10, 12]",5,8,5.0,head_only,0.9054685557411701,0.9380475782204586,0.8728895332618816
lab2_active_4_6_7,"Lab2 active set [4, 6, 7]","[4, 6, 7]",3,10,1.0,head_only,0.9158489475944654,0.9396640134661974,0.8920338817227335
lab2_active_4_6_9,"Lab2 active set [4, 6, 9]","[4, 6, 9]",3,10,2.0,head_only,0.9132604155002854,0.9335449538231788,0.8929758771773919
lab2_active_5_6_9,"Lab2 active set [5, 6, 9]","[5, 6, 9]",3,10,3.0,head_only,0.913157987219947,0.9368296450645276,0.8894863293753664
lab2_active_6_9_10,"Lab2 active set [6, 9, 10]","[6, 9, 10]",3,10,4.0,head_only,0.9128209246376289,0.9327117455893217,0.8929301036859361
lab2_active_1_5_9,"Lab2 active set [1, 5, 9]","[1, 5, 9]",3,10,5.0,head_only,0.9122858510335476,0.9339170116183511,0.8906546904487443
lab2_active_5_9,"Lab2 active set [5, 9]","[5, 9]",2,11,1.0,head_only,0.9072527111477013,0.9342527058571015,0.880252716438301
lab2_active_5_7,"Lab2 active set [5, 7]","[5, 7]",2,11,2.0,head_only,0.9031691950282441,0.9329387215734448,0.8733996684830433
lab2_active_8_10,"Lab2 active set [8, 10]","[8, 10]",2,11,3.0,head_only,0.9018460326318343,0.9312517463727583,0.8724403188909103
lab2_active_2_7,"Lab2 active set [2, 7]","[2, 7]",2,11,4.0,head_only,0.8998643862444393,0.9296792468797299,0.8700495256091488
lab2_active_7_10,"Lab2 active set [7, 10]","[7, 10]",2,11,5.0,head_only,0.8995074053415846,0.9251474386974219,0.8738673719857472
lab2_active_9,Lab2 active set [9],[9],1,12,1.0,head_only,0.8104860113722965,0.8103152259616506,0.8106567967829422
lab2_active_10,Lab2 active set [10],[10],1,12,2.0,head_only,0.7975111478797094,0.8060975236271002,0.7889247721323188
lab2_active_8,Lab2 active set [8],[8],1,12,3.0,head_only,0.7889450497880509,0.7921100550248076,0.7857800445512942
lab2_active_7,Lab2 active set [7],[7],1,12,4.0,head_only,0.759619395928919,0.7367126091906554,0.7825261826671828
lab2_active_12,Lab2 active set [12],[12],1,12,5.0,head_only,0.7531362838270773,0.7600512919479889,0.7462212757061657
