lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,1,1,temperature,0.23327988043534456,0.16904820501804352,0.9632175011637966
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,1,1,humidity,0.8342034367114886,0.6482746005058289,0.9516443024484492
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,2,0,temperature,0.27458531747765846,0.17923063039779663,0.9620160867656714
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,2,0,humidity,1.1607047688439878,0.7943583726882935,0.8876494427223275
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,3,1,temperature,0.3415970463396963,0.293448805809021,0.933989912653401
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,3,1,humidity,1.046854844539824,0.8655168414115906,0.9167449967245235
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,4,1,temperature,0.510637903599088,0.23640576004981995,0.9015075517491222
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,4,1,humidity,1.564735491888778,0.817970335483551,0.7548899276671108
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,5,0,temperature,0.25141406981811154,0.2017495185136795,0.9586541056856368
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,5,0,humidity,1.2030440464280077,0.8819522857666016,0.8929310488548664
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,6,1,temperature,0.34955959924728486,0.2514375150203705,0.9370948636968197
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,6,1,humidity,1.1873464987073292,0.812035858631134,0.9011183160892448
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,7,0,temperature,0.517673872242725,0.34926944971084595,0.8463435293331161
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,7,0,humidity,1.7449346531215864,1.2855198383331299,0.8052239852430048
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,8,1,temperature,0.37370093163881246,0.2731788158416748,0.9157710776769425
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,8,1,humidity,1.397634136948309,0.9666748046875,0.8639593155086245
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,9,0,temperature,0.5706541527344571,0.45070329308509827,0.8155166309515471
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,9,0,humidity,2.286040201963359,1.8054614067077637,0.6679007944395727
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,10,0,temperature,0.4081451703413568,0.29002127051353455,0.9113565105303252
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,10,0,humidity,1.630857839983372,1.1171014308929443,0.8299176404010256
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,11,0,temperature,0.15911208513445402,0.10373668372631073,0.9869941475169728
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,11,0,humidity,0.5572630230206339,0.39602333307266235,0.9763364493019555
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,12,0,temperature,0.32055493228686666,0.21724824607372284,0.9379990953242511
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,12,0,humidity,1.1146743891709345,0.686572790145874,0.9181335749817949
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,13,0,temperature,0.21275038868692667,0.1502300500869751,0.9722287409312316
lab2,head_only,lab2_active_1_3_4_6_8,"Lab2 active set [1, 3, 4, 6, 8]",5,8,13,0,humidity,0.6587663272810402,0.5177597999572754,0.9651762602676006
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,1,1,temperature,0.26640636858000594,0.2112850397825241,0.9520293197830777
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,1,1,humidity,1.0355854224387593,0.9032321572303772,0.9254795400707221
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,2,0,temperature,0.3143840145198922,0.24724997580051422,0.9502072671387713
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,2,0,humidity,0.9994455827189729,0.7915429472923279,0.9166990406483508
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,3,1,temperature,0.33261565220960654,0.2666807472705841,0.9374154017490567
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,3,1,humidity,0.8410523345915771,0.6750853061676025,0.9462617559486656
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,4,0,temperature,0.695541001395455,0.4862060248851776,0.8172647454135703
lab2,head_only,lab2_active_1_3_9_12_13,"Lab2 active set [1, 3, 9, 12, 13]",5,8,4,0,humidity,1.6079252064519223,1.1364020109176636,0.7411721694477207
